 - url, - mass, - name,Count,film name,film count, - gender, - edited, - height, - created, - homeworld, - eye_color, - skin_color, - hair_color, - birth_year, - films - , - species - , - starships - , - vehicles - 
http://swapi.co/api/people/7/,75,Beru Whitesun lars,3,Attack of the Clones,5,female,2014-12-20T21:17:50.319000Z,165,2014-12-10T15:53:41.121000Z,http://swapi.co/api/planets/1/,blue,light,brown,47BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/1/,,
http://swapi.co/api/people/7/,75,Beru Whitesun lars,3,Revenge of the Sith,8,female,,,,,,,,,http://swapi.co/api/films/6/,,,
http://swapi.co/api/people/7/,75,Beru Whitesun lars,3,A New Hope,10,female,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/8/,32,R5-D4,1,A New Hope,10,n/a,2014-12-20T21:17:50.321000Z,97,2014-12-10T15:57:50.959000Z,http://swapi.co/api/planets/1/,red,"white, red",n/a,unknown,http://swapi.co/api/films/1/,http://swapi.co/api/species/2/,,
http://swapi.co/api/people/9/,84,Biggs Darklighter,1,A New Hope,10,male,2014-12-20T21:17:50.323000Z,183,2014-12-10T15:59:50.509000Z,http://swapi.co/api/planets/1/,brown,light,black,24BBY,http://swapi.co/api/films/1/,http://swapi.co/api/species/1/,http://swapi.co/api/starships/12/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,6,Attack of the Clones,5,male,2014-12-20T21:17:50.325000Z,182,2014-12-10T16:16:29.192000Z,http://swapi.co/api/planets/20/,blue-gray,fair,"auburn, white",57BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/1/,http://swapi.co/api/starships/48/,http://swapi.co/api/vehicles/38/
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,6,The Phantom Menace,3,male,,,,,,,,,http://swapi.co/api/films/4/,,http://swapi.co/api/starships/59/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,6,Revenge of the Sith,8,male,,,,,,,,,http://swapi.co/api/films/6/,,http://swapi.co/api/starships/64/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,6,Return of the Jedi,6,male,,,,,,,,,http://swapi.co/api/films/3/,,http://swapi.co/api/starships/65/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,6,The Empire Strikes Back,6,male,,,,,,,,,http://swapi.co/api/films/2/,,http://swapi.co/api/starships/74/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,6,A New Hope,10,male,,,,,,,,,http://swapi.co/api/films/1/,,,
