 - url, - mass, - name,film name, - gender, - edited, - height, - created, - homeworld, - eye_color, - skin_color, - hair_color, - birth_year, - films - , - species - , - starships - , - vehicles - 
http://swapi.co/api/people/3/,32,R2-D2,Return of the Jedi,n/a,,,,,,,,,http://swapi.co/api/films/3/,,,
http://swapi.co/api/people/3/,32,R2-D2,The Empire Strikes Back,n/a,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/3/,32,R2-D2,A New Hope,n/a,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/3/,32,R2-D2,The Force Awakens,n/a,,,,,,,,,http://swapi.co/api/films/7/,,,
http://swapi.co/api/people/4/,136,Darth Vader,Revenge of the Sith,male,2014-12-20T21:17:50.313000Z,202,2014-12-10T15:18:20.704000Z,http://swapi.co/api/planets/1/,yellow,white,none,41.9BBY,http://swapi.co/api/films/6/,http://swapi.co/api/species/1/,http://swapi.co/api/starships/13/,
http://swapi.co/api/people/4/,136,Darth Vader,Return of the Jedi,male,,,,,,,,,http://swapi.co/api/films/3/,,,
http://swapi.co/api/people/4/,136,Darth Vader,The Empire Strikes Back,male,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/4/,136,Darth Vader,A New Hope,male,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/5/,49,Leia Organa,Revenge of the Sith,female,2014-12-20T21:17:50.315000Z,150,2014-12-10T15:20:09.791000Z,http://swapi.co/api/planets/2/,brown,light,brown,19BBY,http://swapi.co/api/films/6/,http://swapi.co/api/species/1/,,http://swapi.co/api/vehicles/30/
http://swapi.co/api/people/5/,49,Leia Organa,Return of the Jedi,female,,,,,,,,,http://swapi.co/api/films/3/,,,
http://swapi.co/api/people/5/,49,Leia Organa,The Empire Strikes Back,female,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/5/,49,Leia Organa,A New Hope,female,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/5/,49,Leia Organa,The Force Awakens,female,,,,,,,,,http://swapi.co/api/films/7/,,,
http://swapi.co/api/people/6/,120,Owen Lars,Attack of the Clones,male,2014-12-20T21:17:50.317000Z,178,2014-12-10T15:52:14.024000Z,http://swapi.co/api/planets/1/,blue,light,"brown, grey",52BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/1/,,
http://swapi.co/api/people/6/,120,Owen Lars,Revenge of the Sith,male,,,,,,,,,http://swapi.co/api/films/6/,,,
http://swapi.co/api/people/6/,120,Owen Lars,A New Hope,male,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/7/,75,Beru Whitesun lars,Attack of the Clones,female,2014-12-20T21:17:50.319000Z,165,2014-12-10T15:53:41.121000Z,http://swapi.co/api/planets/1/,blue,light,brown,47BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/1/,,
http://swapi.co/api/people/7/,75,Beru Whitesun lars,Revenge of the Sith,female,,,,,,,,,http://swapi.co/api/films/6/,,,
http://swapi.co/api/people/7/,75,Beru Whitesun lars,A New Hope,female,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/8/,32,R5-D4,A New Hope,n/a,2014-12-20T21:17:50.321000Z,97,2014-12-10T15:57:50.959000Z,http://swapi.co/api/planets/1/,red,"white, red",n/a,unknown,http://swapi.co/api/films/1/,http://swapi.co/api/species/2/,,
http://swapi.co/api/people/9/,84,Biggs Darklighter,A New Hope,male,2014-12-20T21:17:50.323000Z,183,2014-12-10T15:59:50.509000Z,http://swapi.co/api/planets/1/,brown,light,black,24BBY,http://swapi.co/api/films/1/,http://swapi.co/api/species/1/,http://swapi.co/api/starships/12/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,Attack of the Clones,male,2014-12-20T21:17:50.325000Z,182,2014-12-10T16:16:29.192000Z,http://swapi.co/api/planets/20/,blue-gray,fair,"auburn, white",57BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/1/,http://swapi.co/api/starships/48/,http://swapi.co/api/vehicles/38/
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,The Phantom Menace,male,,,,,,,,,http://swapi.co/api/films/4/,,http://swapi.co/api/starships/59/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,Revenge of the Sith,male,,,,,,,,,http://swapi.co/api/films/6/,,http://swapi.co/api/starships/64/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,Return of the Jedi,male,,,,,,,,,http://swapi.co/api/films/3/,,http://swapi.co/api/starships/65/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,The Empire Strikes Back,male,,,,,,,,,http://swapi.co/api/films/2/,,http://swapi.co/api/starships/74/,
http://swapi.co/api/people/10/,77,Obi-Wan Kenobi,A New Hope,male,,,,,,,,,http://swapi.co/api/films/1/,,,
